Date,Site,Pool,Replicate,Sampling_type,Sampling_volume_ml,Count,Larvae_ml,Pool_Bin_volume_ml,Total_Larvae
5/12/2020,OTI,4,NA,NA,NA,NA,NA,100000,NA
5/12/2020,OTI,2,1,Tube,50,8522,170.44,78000,NA
5/12/2020,OTI,2,2,Tube,50,8828,176.56,78000,13771680
5/12/2020,OTI,2,3,Tube,50,8449,168.98,78000,13180440
5/12/2020,OTI,Octagon,NA,NA,NA,NA,NA,NA,NA
6/12/2020,OTI,4,1,Niskin,500,151,0.302,100000,30200
6/12/2020,OTI,4,2,Niskin,500,91,0.182,100000,18200
6/12/2020,OTI,4,3,Niskin,500,129,0.258,100000,25800
6/12/2020,OTI,2,NA,NA,NA,NA,,78000,0
6/12/2020,OTI,Octagon,NA,NA,NA,NA,,NA,NA
7/12/2020,OTI,4,1,Niskin,500,61,0.122,100000,12200
7/12/2020,OTI,4,2,Niskin,500,76,0.152,100000,15200
7/12/2020,OTI,4,3,Niskin,500,108,0.216,100000,21600
7/12/2020,OTI,2,1,Niskin,500,247,0.494,78000,38532
7/12/2020,OTI,2,2,Niskin,500,231,0.462,78000,36036
7/12/2020,OTI,2,3,Niskin,500,264,0.528,78000,41184
7/12/2020,OTI,Octagon,1,Tube,50,2537,50.74,NA,NA
7/12/2020,OTI,Octagon,2,Tube,50,2839,56.78,NA,NA
7/12/2020,OTI,Octagon,3,Tube,50,2978,59.56,NA,NA
7/12/2020,OTI,Octagon,4,Tube,50,1226,24.52,NA,NA
7/12/2020,OTI,Octagon,5,Tube,50,1003,20.06,NA,NA
7/12/2020,OTI,Octagon,6,Tube,50,1140,22.8,NA,NA
8/12/2020,OTI,4,1,Niskin,500,52,0.104,100000,10400
8/12/2020,OTI,4,2,Niskin,500,49,0.098,100000,9800
8/12/2020,OTI,4,3,Niskin,500,48,0.096,100000,9600
8/12/2020,OTI,2,1,Niskin,500,133,0.266,78000,20748
8/12/2020,OTI,2,2,Niskin,500,120,0.24,78000,18720
8/12/2020,OTI,2,3,Niskin,500,150,0.3,78000,23400
8/12/2020,OTI,Octagon,1,Tube,50,114,2.28,NA,NA
8/12/2020,OTI,Octagon,2,Tube,50,117,2.34,NA,NA
8/12/2020,OTI,Octagon,3,Tube,50,113,2.26,NA,NA
8/12/2020,OTI,Octagon,4,Tube,50,311,6.22,NA,NA
8/12/2020,OTI,Octagon,5,Tube,50,321,6.42,NA,NA
8/12/2020,OTI,Octagon,6,Tube,50,324,6.48,NA,NA
9/12/2020,OTI,4,1,Niskin,500,170,0.34,100000,34000
9/12/2020,OTI,4,2,Niskin,500,142,0.284,100000,28400
9/12/2020,OTI,4,3,Niskin,500,117,0.234,100000,23400
9/12/2020,OTI,2,1,Niskin,500,137,0.274,78000,21372
9/12/2020,OTI,2,2,Niskin,500,206,0.412,78000,32136
9/12/2020,OTI,2,3,Niskin,500,191,0.382,78000,29796
9/12/2020,OTI,Octagon,1,Niskin,500,4,0.008,NA,NA
9/12/2020,OTI,Octagon,2,Niskin,500,3,0.006,NA,NA
9/12/2020,OTI,Octagon,3,Niskin,500,4,0.008,NA,NA
10/12/2020,OTI,4,1,Niskin,500,26,0.052,100000,5200
10/12/2020,OTI,4,2,Niskin,500,31,0.062,100000,6200
10/12/2020,OTI,4,3,Niskin,500,37,0.074,100000,7400
10/12/2020,OTI,2,1,Niskin,500,50,0.1,78000,7800
10/12/2020,OTI,2,2,Niskin,500,59,0.118,78000,9204
10/12/2020,OTI,2,3,Niskin,500,63,0.126,78000,9828
10/12/2020,OTI,Octagon,1,Niskin,500,0,0,NA,NA
10/12/2020,OTI,Octagon,2,Niskin,500,2,0.004,NA,NA
10/12/2020,OTI,Octagon,3,Niskin,500,1,0.002,NA,NA
11/12/2020,OTI,4,1,Niskin,500,53,0.106,100000,10600
11/12/2020,OTI,4,2,Niskin,500,33,0.066,100000,6600
11/12/2020,OTI,4,3,Niskin,500,26,0.052,100000,5200
11/12/2020,OTI,2,1,Niskin,500,57,0.114,78000,8892
11/12/2020,OTI,2,2,Niskin,500,20,0.04,78000,3120
11/12/2020,OTI,2,3,Niskin,500,57,0.114,78000,8892
11/12/2020,OTI,Octagon,1,Niskin,500,5,0.01,NA,NA
11/12/2020,OTI,Octagon,2,Niskin,500,8,0.016,NA,NA
11/12/2020,OTI,Octagon,3,Niskin,500,4,0.008,NA,NA
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
