Date,Site,Pool,Replicate,Sampling_type,Sample_volume_ml,Count,Larvae_ml,Bin_pool_volume_ml,Total_larvae
10/12/2020,Wistari,1,1,Niskin,500,42,0.1,5000000,420000
10/12/2020,Wistari,1,2,Niskin,500,54,0.1,5000000,540000
10/12/2020,Wistari,1,3,Niskin,500,NA,NA,5000000,NA
10/12/2020,Wistari,2,1,Niskin,500,18,0.0,5000000,180000
10/12/2020,Wistari,2,2,Niskin,500,44,0.1,5000000,440000
10/12/2020,Wistari,2,3,Niskin,500,48,0.1,5000000,480000
10/12/2020,Wistari,3,1,Niskin,500,NA,NA,5000000,NA
10/12/2020,Wistari,3,2,Niskin,500,4,0.0,5000000,40000
10/12/2020,Wistari,3,3,Niskin,500,3,0.0,5000000,30000
10/12/2020,Wistari,1,1,Tube,15,156,10.4,82000,852800
10/12/2020,Wistari,1,2,Tube,15,155,10.3,82000,847333.3333
10/12/2020,Wistari,1,3,Tube,15,120,8.0,82000,656000
10/12/2020,Wistari,2,1,Tube,15,53,3.5,72000,254400
10/12/2020,Wistari,2,2,Tube,15,54,3.6,72000,259200
10/12/2020,Wistari,2,3,Tube,15,62,4.1,72000,297600
10/12/2020,Wistari,3,1,Tube,15,14,0.9,30000,28000
10/12/2020,Wistari,3,2,Tube,15,11,0.7,30000,22000
10/12/2020,Wistari,3,3,Tube,15,7,0.5,30000,14000
10/12/2020,Wistari,Dyed,1,Tube,15,556,37.1,16000,593066.6667
10/12/2020,Wistari,Dyed,2,Tube,15,404,26.9,16000,430933.3333
10/12/2020,Wistari,Dyed,3,Tube,15,282,18.8,16000,300800
10/12/2020,Wistari,Concentrated,1,Tube,15,229,15.3,100000,1526666.667
10/12/2020,Wistari,Concentrated,2,Tube,15,264,17.6,100000,1760000
10/12/2020,Wistari,Concentrated,3,Tube,15,257,17.1,100000,1713333.333
10/12/2020,Wistari,Concentrated,4,Tube,15,224,14.9,100000,1493333.333
10/12/2020,Wistari,Concentrated,5,Tube,15,186,12.4,100000,1240000
10/12/2020,OneTree,Octagon,1,Jar,500,5,0.01,NA,NA
10/12/2020,OneTree,Octagon,2,Jar,500,8,0.016,NA,NA
10/12/2020,OneTree,Octagon,3,Jar,500,4,0.008,NA,NA
10/12/2020,OneTree,2,1,Niskin,500,57,0.114,78000,8892
10/12/2020,OneTree,2,2,Niskin,500,20,0.04,78000,3120
10/12/2020,OneTree,2,3,Niskin,500,57,0.114,78000,8892
10/12/2020,OneTree,4,1,Niskin,500,53,0.106,100000,10600
10/12/2020,OneTree,4,2,Niskin,500,33,0.066,100000,6600
10/12/2020,OneTree,4,3,Niskin,500,26,0.052,100000,5200
10/12/2020,OneTree,2,1,Tube,15,156,10.4,78000,811200
10/12/2020,OneTree,2,2,Tube,15,155,10.33333333,78000,806000
10/12/2020,OneTree,2,3,Tube,15,120,8,78000,624000
10/12/2020,OneTree,4,1,Tube,15,53,3.533333333,100000,353333.3333
10/12/2020,OneTree,4,2,Tube,15,54,3.6,100000,360000
10/12/2020,OneTree,4,3,Tube,15,62,4.133333333,100000,413333.3333
10/12/2020,OneTree,Concentrated,1,Tube,15,117,7.8,162000,1263600
10/12/2020,OneTree,Concentrated,2,Tube,15,152,10.13333333,162000,1641600
10/12/2020,OneTree,Concentrated,3,Tube,15,151,10.06666667,162000,1630800
10/12/2020,OneTree,Concentrated,4,Tube,15,174,11.6,162000,1879200
10/12/2020,OneTree,Concentrated,5,Tube,15,169,11.26666667,162000,1825200
